ASIN,URL,Product,Reviews,Rating,Price
B07LBV1V4D,https://www.amazon.com/Canon-18-55mm-75-300mm-Tripods-Accessory/dp/B07LBV1V4D/ref=sr_1_66?qid=1567175160&s=electronics&sr=1-66,Canon T7 EOS Rebel DSLR Camera with 18-55mm and 75-300mm Lenses Kit + UV Filter Set + Tripods + Flash & 32GB Dual SD Card Accessory Bundle,19,4.9,549.0
B07MDZL22D,https://www.amazon.com/Nikon-Camera-18-55mm-70-300mm-Accessory/dp/B07MDZL22D/ref=lp_3017941_1_19/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-19,Nikon D3500 DSLR Camera with AF-P 18-55mm and 70-300mm Zoom Lenses + 64GB Card + Accessory Bundle,46,4.3,509.95
B07MM6K837,https://www.amazon.com/Canon-18-55mm-75-300mm-Speedlight-Professional/dp/B07MM6K837/ref=sr_1_29?qid=1567175118&s=electronics&sr=1-29,"Canon EOS 80D DSLR Camera w/ 18-55mm Lens Bundle + Canon 75-300mm III Lens, Canon 50mm f/1.8 & 500mm Preset Lens + Battery Grip + Canon Case + 96GB Memory + Speedlight Flash + Professional Bundle",9,4.6,1379.0
B07NHHK76T,https://www.amazon.com/Nikon-Camera-18-55mm-70-300mm-Accessory/dp/B07NHHK76T/ref=sr_1_57?qid=1567175141&s=electronics&sr=1-57,Nikon D3500 DSLR Camera w/AF-P DX 18-55mm & 70-300mm Zoom Lens 32GB Accessory Bundle,29,4.0,509.0
B07NP1676G,https://www.amazon.com/Canon-18-55mm-Monopod-Cleaning-Telephoto/dp/B07NP1676G/ref=sr_1_25?qid=1567175118&s=electronics&sr=1-25,Canon EOS Rebel T7 Digital SLR Camera Travel Bundle + EF-S 18-55mm is II Lens + 58mm 2X Professional Telephoto & 58mm Wide Angle Lens + 96GB Memory+ Compact monopod+ Table Tripod+ Bag &More,33,4.7,449.0
B07NRRNNSV,https://www.amazon.com/Camera-18-55mm-70-300mm-NIKKOR-Accessory/dp/B07NRRNNSV/ref=sr_1_78?qid=1567175160&s=electronics&sr=1-78,Nikon D5600 24.2 MP DSLR Camera AF-P DX 18-55mm and 70-300mm NIKKOR Zoom Lens Kit and Accessory Bundle,15,4.4,699.0
B07NS6ZHRS,https://www.amazon.com/Canon-4000D-Rebel-T100-18-0/dp/B07NS6ZHRS/ref=sr_1_40?qid=1567175130&s=electronics&sr=1-40,Canon EOS 4000D / Rebel T100 18.0 MP SLR - Black w/ 18-55mm DC III Lens Bundle,5,4.3,335.52
B07P14FB96,https://www.amazon.com/Canon-T7-18-55mm-75-300mm-Professional/dp/B07P14FB96/ref=lp_3017941_1_14/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-14,Canon EOS Rebel T7 DSLR Camera with 18-55mm is II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Flex Tripod + Professional Bundle,22,4.6,589.0
B07P158MTK,https://www.amazon.com/Canon-T7-18-55mm-75-300mm-Accessory/dp/B07P158MTK/ref=lp_3017941_1_7/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-7,Canon EOS Rebel T7 DSLR Camera Bundle with Canon EF-S 18-55mm f/3.5-5.6 is II Lens + Canon EF 75-300mm f/4-5.6 III Lens + 2pc SanDisk 32GB Memory Cards + Accessory Kit,46,4.5,559.0
B07P15K8Q7,/gp/bestsellers/electronics/3017941/ref=sr_bs_0_3017941_1,Canon EOS Rebel T7 DSLR Camera Bundle with Canon EF-S 18-55mm f/3.5-5.6 is II Lens + 2pc SanDisk 32GB Memory Cards + Accessory Kit,54,4.4,465.0
B07P67Z2TM,https://www.amazon.com/Canon-18-55mm-3-5-5-6-75-300mm-Accessory/dp/B07P67Z2TM/ref=lp_3017941_1_21/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-21,Canon T7 EOS Rebel DSLR Camera with EF-S 18-55mm f/3.5-5.6 is II and EF 75-300mm f/4-5.6 III Lens Plus Double Battery Accessory Bundle,37,4.6,549.0
B07PBXLDZV,https://www.amazon.com/Canon-EF18-55mm-Telephoto-Paintshop-Accessories/dp/B07PBXLDZV/ref=sr_1_65?qid=1567175160&s=electronics&sr=1-65,"Canon EOS Rebel T7 DSLR Camera with EF18-55mm with EF 75-300mm Double Zoom Kit Bundle with 500mm Preset Telephoto Lens, 32GB Memory Card, Tripod, Paintshop Pro 2018 and Accessories (10 Items)",12,4.3,579.0
B07PBYQ62S,https://www.amazon.com/Canon-EOS-Rebel-T7-Professional/dp/B07PBYQ62S/ref=lp_3017941_1_17/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-17,"Canon EOS Rebel T7 Digital SLR Camera Bundle + EF-S 18-55mm f 3.5-5.6 is II Lens + 58mm 2X Professional Telephoto & 58mm Wide Angle Lens + 64GB Memory Card + DC59 Case + 60"" Tripod + Slave Flash",56,4.5,449.0
B07PCSKGP7,https://www.amazon.com/Canon-18-55mm-3-5-5-6-Cleaning-Accessory/dp/B07PCSKGP7/ref=lp_3017941_1_22/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-22,Canon EOS Rebel T7 DSLR Camera with EF-S 18-55mm f/3.5-5.6 is II Lens Plus Double Battery Tripod Cleaning Kit and Deco Gear Deluxe Case Accessory Bundle,20,4.2,449.0
B07PKL46PN,https://www.amazon.com/Nikon-18-55mm-70-300mm-Renewed-Accessory/dp/B07PKL46PN/ref=sr_1_27?qid=1567175118&s=electronics&sr=1-27,Nikon D3500 24.2MP DSLR Camera with AF-P 18-55mm VR Lens & 70-300mm Dual Zoom Lens Kit 1588 (Renewed) with 16GB Accessory Bundle,36,4.5,439.0
B07QB9LW8G,https://www.amazon.com/Canon-Camera-18-55mm-Starter-Accessory/dp/B07QB9LW8G/ref=lp_3017941_1_25/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-25,Canon EOS 4000D DSLR Camera with 18-55mm III Lens & Starter Accessory Bundle – Includes: SanDisk Ultra 32GB SDHC Memory Card + 3PC Multi-Coated Filter Set + Memory Card Reader + Cleaning Kit + More,7,4.4,309.0
B07QBD256Y,https://www.amazon.com/Canon-Rebel-18-55mm-Lens-Black/dp/B07QBD256Y/ref=sr_1_34?qid=1567175130&s=electronics&sr=1-34,Canon Rebel SL3 with 18-55mm Lens Black,13,4.8,649.0
B07QFFNCG4,https://www.amazon.com/CANON-DIGITAL-CAMERA-REBEL-Body/dp/B07QFFNCG4/ref=sr_1_47?qid=1567175130&s=electronics&sr=1-47,CANON DIGITAL CAMERA EOS REBEL SL3 (BK) Body,13,4.8,549.0
B07QPVCR5G,https://www.amazon.com/Nikon-24-2MP-Camera-18-55mm-70-300mm/dp/B07QPVCR5G/ref=sr_1_48?qid=1567175130&s=electronics&sr=1-48,Nikon D3500 24.2MP DSLR Camera w/AF-P 18-55mm VR Lens & 70-300mm Dual Zoom Lens - (Renewed) + 16GB Bundle,7,5.0,419.0
B07R23QBYL,https://www.amazon.com/Canon-EOS-Rebel-SL3-Advanced/dp/B07R23QBYL/ref=sr_1_45?qid=1567175130&s=electronics&sr=1-45,Canon EOS Rebel SL3 DSLR Camera with EF-S 18-55mm f/4-5.6 is STM Lens w/Advanced Photo & Travel Bundle,12,4.7,649.0
B07RDGBV9M,https://www.amazon.com/Nikon-18-55mm-70-300mm-Renewed-Accessory/dp/B07RDGBV9M/ref=lp_3017941_1_16/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-16,Nikon D3500 24.2MP DSLR Camera with AF-P 18-55mm VR Lens & 70-300mm Dual Zoom Lens Kit 1588 (Renewed) with 16GB Accessory Bundle,17,4.5,429.0
B07T85QWTS,https://www.amazon.com/Nikon-18-55mm-70-300mm-Telephoto-Accessory/dp/B07T85QWTS/ref=lp_3017941_1_12/136-6166019-4912147?s=photo&ie=UTF8&qid=1567175107&sr=1-12,Nikon D3500 DSLR Camera w/AF-P DX 18-55mm VR & 70-300mm Double Zoom Lens Kit Travel Case + Wide Angle & Telephoto Lens + Filter Set 32GB Accessory Bundle,12,4.8,509.0
B07T99HWGJ,https://www.amazon.com/Nikon-D3500-Camera-18-55mm-3-5-5-6G/dp/B07T99HWGJ/ref=sr_1_77?qid=1567175160&s=electronics&sr=1-77,Nikon D3500 DSLR Camera with AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR Lens + Nikon DSLR Camera Case + 32GB Memory Bundle (24pcs),2,5.0,429.0
B07TNTF1PP,https://www.amazon.com/Camera-18-55mm-70-300mm-Lenses-Ultimate/dp/B07TNTF1PP/ref=sr_1_80?qid=1567175160&s=electronics&sr=1-80,Nikon D3500 DSLR Camera with 18-55mm and 70-300mm Lenses Ultimate Travel Bundle,8,4.0,496.95
ASIN,URL,Product,Reviews,Rating,Price
B0060MVJ1Q,https://www.amazon.com/Nikon-D750-FX-format-Digital-Camera/dp/B0060MVJ1Q/ref=lp_3017941_1_13/147-6099382-1006622?s=photo&ie=UTF8&qid=1567178999&sr=1-13,Nikon D750 FX-format Digital SLR Camera Body,616,4.5,1496.95
B00NEWZDRG,https://www.amazon.com/Canon-Mark-Digital-Camera-Body/dp/B00NEWZDRG/ref=sr_1_28?qid=1567179009&s=electronics&sr=1-28,Canon EOS 7D Mark II Digital SLR Camera (Body Only),365,4.6,1024.99
B01A7Q0J3Y,https://www.amazon.com/Nikon-D500-DX-Format-Digital-Body/dp/B01A7Q0J3Y/ref=sr_1_23?qid=1567179009&s=electronics&sr=1-23,Nikon D500 DX-Format Digital SLR (Body Only),208,4.7,1496.95
B01BUYK04A,https://www.amazon.com/Canon-Digital-Camera-Megapixel-Sensor/dp/B01BUYK04A/ref=sr_1_24?qid=1567179009&s=electronics&sr=1-24,Canon Digital SLR Camera Body [EOS 80D] with 24.2 Megapixel (APS-C) CMOS Sensor and Dual Pixel CMOS AF - Black,214,4.4,999.0
